participant_id,source_file,trial_index,trial_type,task,rt,response,item_id,condition,is_critical,list,segment_text,segment_index,segment_role,correct_answer,question_text,participant_answer,correct,time_elapsed
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,0,html-keyboard-response,welcome,1419.0, ,,,,1,,,,,,,,1422
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,1,html-keyboard-response,instructions,492.0, ,,,,1,,,,,,,,1916
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,2,html-keyboard-response,reading,156.0, ,p1,practice,False,1,The baker woke up early,0.0,other,,,,,2074
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,3,html-keyboard-response,reading,152.0, ,p1,practice,False,1,to prepare the bread,1.0,other,,,,,2228
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,4,html-keyboard-response,reading,165.0, ,p1,practice,False,1,for the morning customers.,2.0,other,,,,,2393
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,5,html-keyboard-response,sentence_break,,,p1,,,1,,,,,,,,3399
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,6,html-keyboard-response,reading,415.0, ,p1,practice,False,1,He mixed the dough,4.0,other,,,,,3815
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,7,html-keyboard-response,reading,210.0, ,p1,practice,False,1,and put it in the oven,5.0,other,,,,,4025
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,8,html-keyboard-response,reading,133.0, ,p1,practice,False,1,before sunrise.,6.0,other,,,,,4159
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,9,html-keyboard-response,reading,200.0, ,p2,practice,False,1,Anna took the bus,0.0,other,,,,,4361
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,10,html-keyboard-response,reading,190.0, ,p2,practice,False,1,to the city centre,1.0,other,,,,,4552
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,11,html-keyboard-response,reading,186.0, ,p2,practice,False,1,to meet her friend.,2.0,other,,,,,4739
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,12,html-keyboard-response,sentence_break,,,p2,,,1,,,,,,,,5741
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,13,html-keyboard-response,reading,53.0, ,p2,practice,False,1,They had lunch together,4.0,other,,,,,5795
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,14,html-keyboard-response,reading,155.0, ,p2,practice,False,1,at a small Italian restaurant,5.0,other,,,,,5953
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,15,html-keyboard-response,reading,182.0, ,p2,practice,False,1,near the park.,6.0,other,,,,,6136
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,16,html-keyboard-response,comprehension,1135.0,j,p2,,,1,,,,no,Did Anna drive to the city centre?,no,True,7271
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,17,html-keyboard-response,reading,146.0, ,p3,practice,False,1,The children played,0.0,other,,,,,7418
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,18,html-keyboard-response,reading,146.0, ,p3,practice,False,1,in the garden,1.0,other,,,,,7565
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,19,html-keyboard-response,reading,149.0, ,p3,practice,False,1,until it got dark.,2.0,other,,,,,7714
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,20,html-keyboard-response,sentence_break,,,p3,,,1,,,,,,,,8716
1sxehsfr3q,1sxehsfr3q-1777055587172.csv,21,html-keyboard-response,reading,127124.0, ,p3,practice,False,1,Their parents called them inside,4.0,other,,,,,135842
