index,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity,Balance,Height
1,14.891,3606,283,2,34,11,Male,No,Yes,Caucasian,333,165.5566372675147
2,106.025,6645,483,3,82,15,Female,Yes,Yes,Asian,903,163.86552558522766
3,104.593,7075,514,4,71,11,Male,No,No,Asian,580,170.20711153148648
4,148.924,9504,681,3,36,11,Female,No,No,Asian,964,170.660770097199
5,55.882,4897,357,2,68,16,Male,No,Yes,Caucasian,331,173.73574967636588
6,80.18,8047,569,4,77,10,Male,No,No,Caucasian,1151,162.7621266540446
7,20.996,3388,259,2,37,12,Female,No,No,African American,203,166.0917271996443
8,71.408,7114,512,2,87,9,Male,No,No,Asian,872,172.85747369975053
9,15.125,3300,266,5,66,13,Female,No,No,Caucasian,279,167.5832935515641
10,71.061,6819,491,3,41,19,Female,Yes,Yes,African American,1350,174.8312505201927
11,63.095,8117,589,4,30,14,Male,No,Yes,Caucasian,1407,171.36360286950062
12,15.045,1311,138,3,64,16,Male,No,No,Caucasian,0,167.7417507830793
13,80.616,5308,394,1,57,7,Female,No,Yes,Asian,204,168.9267700857843
14,43.682,6922,511,1,49,9,Male,No,Yes,Caucasian,1081,162.1208473383266
15,19.144,3291,269,2,75,13,Female,No,No,African American,148,166.2105116519055
16,20.089,2525,200,3,57,15,Female,No,Yes,African American,0,169.3570444544636
17,53.598,3714,286,3,73,17,Female,No,Yes,African American,0,172.71671959212327
18,36.496,4378,339,3,69,15,Female,No,Yes,Asian,368,170.64290305508032
19,49.57,6384,448,1,28,9,Female,No,Yes,Asian,891,167.87142112136002
20,42.079,6626,479,2,44,9,Male,No,No,Asian,1048,170.8167878455662
21,17.7,2860,235,4,63,16,Female,No,No,Asian,89,168.04495878995505
22,37.348,6378,458,1,72,17,Female,No,No,Caucasian,968,166.53155759400627
23,20.103,2631,213,3,61,10,Male,No,Yes,African American,0,165.90879192795182
24,64.027,5179,398,5,48,8,Male,No,Yes,African American,411,165.95719320252618
25,10.742,1757,156,3,57,15,Female,No,No,Caucasian,0,168.3157030152951
26,14.09,4323,326,5,25,16,Female,No,Yes,African American,671,167.494718309357
27,42.471,3625,289,6,44,12,Female,Yes,No,Caucasian,654,169.01373341930716
28,32.793,4534,333,2,44,16,Male,No,No,African American,467,174.91263060396554
29,186.634,13414,949,2,41,14,Female,No,Yes,African American,1809,166.54586826370289
30,26.813,5611,411,4,55,16,Female,No,No,Caucasian,915,170.94743414073747
31,34.142,5666,413,4,47,5,Female,No,Yes,Caucasian,863,163.53100437766122
32,28.941,2733,210,5,43,16,Male,No,Yes,Asian,0,166.06084912550156
33,134.181,7838,563,2,48,13,Female,No,No,Caucasian,526,163.75146966998236
34,31.367,1829,162,4,30,10,Male,No,Yes,Caucasian,0,164.85895548380617
35,20.15,2646,199,2,25,14,Female,No,Yes,Asian,0,168.2745905558555
36,23.35,2558,220,3,49,12,Female,Yes,No,Caucasian,419,162.3111082742091
37,62.413,6457,455,2,71,11,Female,No,Yes,Caucasian,762,173.77771286961757
38,30.007,6481,462,2,69,9,Female,No,Yes,Caucasian,1093,165.05367758994637
39,11.795,3899,300,4,25,10,Female,No,No,Caucasian,531,159.6972975053887
40,13.647,3461,264,4,47,14,Male,No,Yes,Caucasian,344,167.28163059939965
41,34.95,3327,253,3,54,14,Female,No,No,African American,50,174.62129897191951
42,113.659,7659,538,2,66,15,Male,Yes,Yes,African American,1155,174.55145825786354
43,44.158,4763,351,2,66,13,Female,No,Yes,Asian,385,171.70021678768256
44,36.929,6257,445,1,24,14,Female,No,Yes,Asian,976,171.20202958463815
45,31.861,6375,469,3,25,16,Female,No,Yes,Caucasian,1120,170.91059292741048
46,77.38,7569,564,3,50,12,Female,No,Yes,Caucasian,997,167.44936051773774
