subj,item,type,pos,word,correct,rt,region,type2
1,13,obj-ext,6,抓住,NA,1140,de1,object relative
1,6,subj-ext,6,男孩,NA,1197,de1,subject relative
1,5,obj-ext,6,撞,NA,756,de1,object relative
1,9,obj-ext,6,監視,NA,643,de1,object relative
1,14,subj-ext,6,機師,NA,860,de1,subject relative
1,4,subj-ext,6,男孩,NA,868,de1,subject relative
1,8,subj-ext,6,職業選手,NA,1012,de1,subject relative
1,10,subj-ext,6,房東,NA,660,de1,subject relative
1,2,subj-ext,6,重型機車,NA,523,de1,subject relative
1,11,obj-ext,6,揍,NA,1077,de1,object relative
1,7,obj-ext,6,救,NA,547,de1,object relative
1,3,obj-ext,6,推,NA,635,de1,object relative
1,16,subj-ext,6,作家,NA,579,de1,subject relative
1,15,obj-ext,6,讚美,NA,635,de1,object relative
1,1,obj-ext,6,揍,NA,612,de1,object relative
11,5,obj-ext,6,撞,NA,2026,de1,object relative
11,13,obj-ext,6,抓住,NA,1269,de1,object relative
11,6,subj-ext,6,男孩,NA,1325,de1,subject relative
11,11,obj-ext,6,揍,NA,1120,de1,object relative
11,8,subj-ext,6,職業選手,NA,1221,de1,subject relative
11,2,subj-ext,6,重型機車,NA,980,de1,subject relative
11,10,subj-ext,6,房東,NA,1526,de1,subject relative
11,9,obj-ext,6,監視,NA,836,de1,object relative
11,16,subj-ext,6,作家,NA,900,de1,subject relative
11,3,obj-ext,6,推,NA,1100,de1,object relative
11,15,obj-ext,6,讚美,NA,2222,de1,object relative
11,4,subj-ext,6,男孩,NA,691,de1,subject relative
11,1,obj-ext,6,揍,NA,1365,de1,object relative
11,14,subj-ext,6,機師,NA,917,de1,subject relative
11,7,obj-ext,6,救,NA,780,de1,object relative
12,11,subj-ext,6,教練,NA,1455,de1,subject relative
12,10,obj-ext,6,抱怨,NA,3811,de1,object relative
12,4,obj-ext,6,打,NA,1405,de1,object relative
12,16,obj-ext,6,訪問,NA,1870,de1,object relative
12,13,subj-ext,6,女人,NA,1491,de1,subject relative
12,8,obj-ext,6,推,NA,1798,de1,object relative
12,2,obj-ext,6,追,NA,1442,de1,object relative
12,5,subj-ext,6,休旅車,NA,2799,de1,subject relative
12,15,subj-ext,6,導演,NA,1491,de1,subject relative
12,14,obj-ext,6,約,NA,1604,de1,object relative
12,3,subj-ext,6,高中女學生,NA,4577,de1,subject relative
12,6,obj-ext,6,邀請,NA,1633,de1,object relative
12,1,subj-ext,6,酒吧少爺,NA,1461,de1,subject relative
12,9,subj-ext,6,職業殺手,NA,1289,de1,subject relative
12,7,subj-ext,6,男孩,NA,1953,de1,subject relative
14,4,obj-ext,6,打,NA,1461,de1,object relative
14,1,subj-ext,6,酒吧少爺,NA,1782,de1,subject relative
14,6,obj-ext,6,邀請,NA,1494,de1,object relative
14,13,subj-ext,6,女人,NA,972,de1,subject relative
14,11,subj-ext,6,教練,NA,1613,de1,subject relative
14,9,subj-ext,6,職業殺手,NA,1373,de1,subject relative
14,15,subj-ext,6,導演,NA,1132,de1,subject relative
14,2,obj-ext,6,追,NA,1085,de1,object relative
14,7,subj-ext,6,男孩,NA,1340,de1,subject relative
14,5,subj-ext,6,休旅車,NA,1213,de1,subject relative
14,16,obj-ext,6,訪問,NA,972,de1,object relative
14,14,obj-ext,6,約,NA,1694,de1,object relative
14,10,obj-ext,6,抱怨,NA,876,de1,object relative
14,8,obj-ext,6,推,NA,1036,de1,object relative
14,3,subj-ext,6,高中女學生,NA,1004,de1,subject relative
15,9,obj-ext,6,監視,NA,1920,de1,object relative
15,6,subj-ext,6,男孩,NA,1073,de1,subject relative
15,3,obj-ext,6,推,NA,1034,de1,object relative
15,4,subj-ext,6,男孩,NA,1271,de1,subject relative
15,7,obj-ext,6,救,NA,655,de1,object relative
15,13,obj-ext,6,抓住,NA,481,de1,object relative
